model,interval,ticker,window,MAE,RMSE,MAPE,sMAPE,error_volatility,directional_accuracy
chronos,15M,QBTS,18,0.507384703125,0.5991872086394149,6.907561922583586,6.585242097773766,0.32218189876035586,44.09448818897638
chronos,15M,QBTS,19,0.13427756328125,0.1878891049234039,1.7529883301878462,1.7731603667262366,0.17530649625400901,58.26771653543307
chronos,15M,QBTS,2,0.3550608671875001,0.4085517282499853,6.061994665001697,5.828361806290092,0.2124731891592299,48.818897637795274
chronos,15M,QBTS,20,0.5071654328125,0.6096509510412516,7.683721191608423,7.267999258070939,0.34033490386110055,49.60629921259843
chronos,15M,QBTS,21,0.30694237656250006,0.36432265010028636,4.854434086223994,4.780819190352059,0.36117620618130253,41.732283464566926
chronos,15M,QBTS,22,0.38991481562499997,0.4623194109825059,5.522852470463926,5.732695549007291,0.29915338260128793,51.181102362204726
chronos,15M,QBTS,23,0.13608121406249996,0.18051372416650116,1.854376342322901,1.8825196617856026,0.14503023976594392,51.181102362204726
chronos,15M,QBTS,24,0.32146857578124993,0.39129045489609365,4.880144113256728,4.709241662576019,0.25942880522446876,44.881889763779526
chronos,15M,QBTS,3,0.19900913281250004,0.23198407257134157,3.511451358769454,3.461185287750089,0.218693366074583,39.37007874015748
chronos,15M,QBTS,4,0.41537722343749994,0.43932867134753156,6.440232509857805,6.67923830333002,0.1521918630826096,50.39370078740157
chronos,15M,QBTS,5,0.44262816250000003,0.4735121905325618,6.896660859552709,6.885121784341789,0.47349508321857336,49.60629921259843
chronos,15M,QBTS,6,0.30422662187500005,0.3614044368452899,4.167012688492564,4.209649604263236,0.3246336062668234,51.96850393700787
chronos,15M,QBTS,7,1.1631938359375,1.272580564894394,19.022079218615037,17.067468072152803,0.5178117312632404,43.30708661417323
chronos,15M,QBTS,8,0.45348950468750004,0.5011972053419248,7.952728908674128,7.600191455558416,0.3412972320478375,44.881889763779526
chronos,15M,QBTS,9,0.42370462031250006,0.5603141676109924,8.70270490514752,8.06308768504848,0.3758039433376122,50.39370078740157
chronos,15M,RGTI,1,0.40840049609375007,0.48450129976370626,2.960791024873085,3.0231551279569997,0.275291082444783,51.181102362204726
chronos,15M,RGTI,10,0.41084152578125,0.46654424180001813,5.259165390678759,5.144845163339362,0.4094976711550062,46.45669291338583
chronos,15M,RGTI,11,0.6038214648437501,0.7028505431581463,7.175404178854797,7.0255597819675595,0.701099215222511,48.818897637795274
chronos,15M,RGTI,12,0.2920564570312499,0.3422965812446954,3.462574613933797,3.4843282471772583,0.34095428294067653,55.90551181102362
